Index,Date,Airport,User Class,Aircraft Type,Departures,Nautical MPG,Fuel Cost(Avg),Passenger Capacity,NM Distance to MCO (Orlando),NM Distance to DAB (Daytona Beach),Estimated Fuel Cost to MCO,Estimated Fuel Cost to DAB
76,9/24/2022,MIA,Air Carrier,B763 - Boeing 767-300,5,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
77,9/24/2022,TPA,Air Carrier,B763 - Boeing 767-300,5,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
78,9/25/2022,ATL,Air Carrier,B763 - Boeing 767-300,10,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
79,9/25/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
80,9/25/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
81,9/25/2022,FLL,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,154.4543168,192.6778018,4146.5,5172.66
82,9/25/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
83,9/25/2022,MCO,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,0,46.83699169,0,1257.39
84,9/25/2022,MIA,Air Carrier,B763 - Boeing 767-300,5,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
85,9/25/2022,TPA,Air Carrier,B763 - Boeing 767-300,4,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
86,9/26/2022,ATL,Air Carrier,B763 - Boeing 767-300,7,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
87,9/26/2022,AUS,Air Carrier,B763 - Boeing 767-300,3,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
88,9/26/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
89,9/26/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
90,9/26/2022,FLL,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,154.4543168,192.6778018,4146.5,5172.66
91,9/26/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
92,9/26/2022,MIA,Air Carrier,B763 - Boeing 767-300,6,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
93,9/26/2022,TPA,Air Carrier,B763 - Boeing 767-300,4,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
94,9/27/2022,ATL,Air Carrier,B763 - Boeing 767-300,8,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
95,9/27/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
96,9/27/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
97,9/27/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
98,9/27/2022,MCO,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,0,46.83699169,0,1257.39
99,9/27/2022,MIA,Air Carrier,B763 - Boeing 767-300,3,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
100,9/28/2022,ATL,Air Carrier,B763 - Boeing 767-300,10,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
101,9/28/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
102,9/28/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
103,9/28/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
104,9/28/2022,IAH,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
105,9/28/2022,MIA,Air Carrier,B763 - Boeing 767-300,3,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
106,9/29/2022,ATL,Air Carrier,B763 - Boeing 767-300,8,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
107,9/29/2022,AUS,Air Carrier,B763 - Boeing 767-300,3,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
108,9/29/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
